1,講義棟501講義室,講義棟5階,50,53,79
1,講義棟502講義室,講義棟5階,55,104,77
1,講義棟503講義室,講義棟5階,206,53,75
1,講義棟504講義室,講義棟5階,205,104,73
1,講義棟510学生ルーム,講義棟5階,48,293,56
1,講義棟511学生ルーム,講義棟5階,48,320,57
1,講義棟512ゼミ室,講義棟5階,48,338,58
1,講義棟513院生研究室,講義棟5階,48,365,59
1,講義棟514小講義室,講義棟5階,48,403,60
1,講義棟515研究室,講義棟5階,48,432,61
1,講義棟516ゼミ室,講義棟5階,48,451,62
1,講義棟517研究室,講義棟5階,48,470,63
1,講義棟518研究室,講義棟5階,48,487,64
1,講義棟519ゼミ室,講義棟5階,48,506,65
1,講義棟520研究室,講義棟5階,48,524,66
1,講義棟521研究室,講義棟5階,48,544,67
1,講義棟522ゼミ室,講義棟5階,48,563,68
1,講義棟530院生研究室,講義棟5階,207,293,49
1,講義棟531院生研究室,講義棟5階,207,320,48
1,講義棟545院生研究室,講義棟5階,207,338,47
1,講義棟546小講義室,講義棟5階,207,365,46
1,講義棟532研究室,講義棟5階,207,393,45
1,講義棟533ゼミ室,講義棟5階,207,413,44
1,講義棟535研究室,講義棟5階,207,432,43
1,講義棟536研究室,講義棟5階,207,451,42
1,講義棟537ゼミ室,講義棟5階,207,470,41
1,講義棟538研究室,講義棟5階,207,487,40
1,講義棟539研究室,講義棟5階,207,506,39
1,講義棟540ゼミ室,講義棟5階,207,524,38
1,講義棟541研究室,講義棟5階,207,544,37
1,講義棟542研究室,講義棟5階,207,563,36
1,講義棟543ゼミ室,講義棟5階,207,580,35
1,講義棟544研究室,講義棟5階,207,600,34
0,講義棟5-34,講義棟5階,181,600,33,35
0,講義棟5-35,講義棟5階,181,580,32,34,36
0,講義棟5-36,講義棟5階,181,563,31,35,37
0,講義棟5-37,講義棟5階,181,544,30,36,38
0,講義棟5-38,講義棟5階,181,524,29,37,39
0,講義棟5-39,講義棟5階,181,506,28,38,40
0,講義棟5-40,講義棟5階,181,487,27,39,41
0,講義棟5-41,講義棟5階,181,470,26,40,42
0,講義棟5-42,講義棟5階,181,451,25,41,43
0,講義棟5-43,講義棟5階,181,432,24,42,44
0,講義棟5-44,講義棟5階,181,413,23,43,45
0,講義棟5-45,講義棟5階,181,393,22,44,46
0,講義棟5-46,講義棟5階,181,365,21,45,47
0,講義棟5-47,講義棟5階,181,338,20,46,48
0,講義棟5-48,講義棟5階,181,320,19,47,49
0,講義棟5-49,講義棟5階,181,293,18,48,50
0,講義棟5-50,講義棟5階,181,257,49,51
0,講義棟5-51,講義棟5階,175,257,50,52,72
0,講義棟5-52,講義棟5階,126,257,51,53,54
0,講義棟5-53,講義棟5階,126,277,52
0,講義棟5-54,講義棟5階,82,257,52,55,69
0,講義棟5-55,講義棟5階,75,257,54,56
0,講義棟5-56,講義棟5階,75,293,5,55,57
0,講義棟5-57,講義棟5階,75,320,6,56,58
0,講義棟5-58,講義棟5階,75,338,7,57,59
0,講義棟5-59,講義棟5階,75,365,8,58,60
0,講義棟5-60,講義棟5階,75,403,9,59,61
0,講義棟5-61,講義棟5階,75,432,10,60,62
0,講義棟5-62,講義棟5階,75,451,11,61,63
0,講義棟5-63,講義棟5階,75,470,12,62,64
0,講義棟5-64,講義棟5階,75,487,13,63,65
0,講義棟5-65,講義棟5階,75,506,14,64,66
0,講義棟5-66,講義棟5階,75,524,15,65,67
0,講義棟5-67,講義棟5階,75,544,16,66,68
0,講義棟5-68,講義棟5階,75,563,17,67
0,講義棟5-69,講義棟5階,82,168,54,70
0,講義棟5-70,講義棟5階,85,168,69,71,77
0,講義棟5-71,講義棟5階,173,168,70,72,73
0,講義棟5-72,講義棟5階,175,168,51,71
0,講義棟5-73,講義棟5階,173,104,4,71,74
0,講義棟5-74,講義棟5階,173,53,73,75
0,講義棟5-75,講義棟5階,190,53,3,74,76
0,講義棟5-76,講義棟5階,190,42,75
0,講義棟5-77,講義棟5階,85,104,2,70,78
0,講義棟5-78,講義棟5階,85,53,77,79
0,講義棟5-79,講義棟5階,69,53,1,78,80
0,講義棟5-80,講義棟5階,69,42,79
